Node,TP
sys_clk,0.4855
sys_rst_l,0.5205
uart_XMIT_dataH,0.5065
xmitH,0.5135
xmit_dataH,0.5175
xmit_doneH,0.5115
uart_REC_dataH,0.5325
rec_dataH,0.5035
rec_readyH,0.5225
iXMIT.sys_clk,0.4855
iXMIT.sys_rst_l,0.4995
iXMIT.uart_xmitH,0.4775
iXMIT.xmitH,0.4825
iXMIT.xmit_dataH,0.5225
iXMIT.xmit_doneH,0.4775
iXMIT.xmitDataSelH,0.5135
iXMIT.xmit_ShiftRegH,0.5075
iXMIT.bitCell_cntrH,0.4975
iXMIT.countEnaH,0.4935
iXMIT.load_shiftRegH,0.4975
iXMIT.DataSend_ena,0.4925
iXMIT.shiftEnaH,0.5135
iXMIT.bitCountH,0.4985
iXMIT.rst_bitCountH,0.4975
iXMIT.ena_bitCountH,0.5175
iXMIT.state,0.4875
iXMIT.next_state,0.5115
iXMIT.xmit_doneInH,0.5115
iXMIT.count_in,0.4925
iRECEIVER.sys_rst_l,0.5045
iRECEIVER.sys_clk,0.4875
iRECEIVER.uart_dataH,0.4845
iRECEIVER.rec_dataH,0.4785
iRECEIVER.rec_readyH,0.5205
iRECEIVER.par_dataH,0.5125
iRECEIVER.rec_datSyncH,0.4945
iRECEIVER.rec_datH,0.4845
iRECEIVER.bitCell_cntrH,0.4745
iRECEIVER.cntr_resetH,0.4965
iRECEIVER.shiftH,0.4935
iRECEIVER.recd_bitCntrH,0.4975
iRECEIVER.countH,0.4935
iRECEIVER.rstCountH,0.5015
iRECEIVER.state,0.5065
iRECEIVER.next_state,0.5175
iRECEIVER.rec_readyInH,0.5015
rec_dataH_rec,0.5035
rec_dataH_temp,0.5115
